"PRODUCTID","OK_ID_TIERS","ERP_ID_TIERS","ERP_ID_TIERS_QUALIAC","ROLE"
"RCB_TIE000000006693","WFRE00025998","007940","007940","C"
"RCB_TIE000000008368","WFRE00031854","109916","109916","C"
"RCB_TIE000000008370","WFRE00031857","211824","211824","C"
"RCB_TIE000000007788","WFRE00030176","136596","136596","C"
"RCB_TIE000000008465","WFRE00032244","136147","136147","C"
"RCB_TIE000000008005","WFRE00030660","210680","210680","C"
"RCB_TIE000000008275","WFRE00031558","072840","072840","C"
"RCB_TIE000000009379","WFRE00036101","079589","079589","C"
"RCB_TIE000000008575","WFRE00032588","104740","104740","C"
"RCB_TIE000000008904","WFRE00033733","134261","134261","C"
"RCB_TIE000000008786","WFRE00033375","109869","109869","C"
"RCB_TIE000000009512","WFRE00036672","210597","210597","C"
"RCB_TIE000000009513","WFRE00036675","104993","104993","C"
"RCB_TIE000000008697","WFRE00033020","300295","300295","C"
"RCB_TIE000000008599","WFRE00032661","109880","109880","C"
"RCB_TIE000000009910","WFRE00038100","144481","144481","C"
"RCB_TIE000000009715","WFRE00037386","106779","106779","C"
"RCB_TIE000000007943","WFRE00030540","114437","114437","C"
"RCB_TIE000000010111","WFRE00038931","210484","210484","C"
"RCB_TIE000000010710","WFRE00041949","079513","079513","C"
"RCB_TIE000000008842","WFRE00033549","211248","211248","C"
"RCB_TIE000000009738","WFRE00037545","210888","210888","C"
"RCB_TIE000000009940","WFRE00038245","122087","122087","C"
"RCB_TIE000000008859","WFRE00033616","106044","106044","C"
"RCB_TIE000000007970","WFRE00030578","212236","212236","C"
"RCB_TIE000000008175","WFRE00031115","008096","008096","C"
"RCB_TIE000000009450","WFRE00036397","211538","211538","C"
"RCB_TIE000000010351","WFRE00040329","106009","106009","C"
"RCB_TIE000000008179","WFRE00031146","210074","210074","C"
"RCB_TIE000000009243","WFRE00035430","103485","103485","C"
"RCB_TIE000000008181","WFRE00031152","073262","073262","C"
"RCB_TIE000000009249","WFRE00035494","110641","110641","C"
"RCB_TIE000000008187","WFRE00031194","100699","100699","C"
"RCB_TIE000000010362","WFRE00040346","135929","135929","C"
"RCB_TIE000000010363","WFRE00040347","103748","103748","C"
"RCB_TIE000000008089","WFRE00030826","115500","115500","C"
"RCB_TIE000000010167","WFRE00039254","102160","102160","C"
"RCB_TIE000000008091","WFRE00030831","103161","103161","C"
"RCB_TIE000000008100","WFRE00030852","109562","109562","C"
"RCB_TIE000000011301","WFRE00043806","210652","210652","C"
"RCB_TIE000000011303","WFRE00043809","102068","102068","C"
"RCB_TIE000000010581","WFRE00041488","118860","118860","C"
"RCB_TIE000000011305","WFRE00043812","128318","128318","C"
"RCB_TIE000000009797","WFRE00037710","135600","135600","C"
"RCB_TIE000000010390","WFRE00040426","001100","001100","C"
"RCB_TIE000000009280","WFRE00035660","210573","210573","C"
"RCB_TIE000000010391","WFRE00040436","103132","103132","C"
"RCB_TIE000000010198","WFRE00039605","211069","211069","C"
"RCB_TIE000000011501","WFRE00044524","079509","079509","C"
"RCB_TIE000000010199","WFRE00039606","101385","101385","C"
