PRODUCTID|PRODUCTIDEXT|||CATEGORIE
"RCB_TIE000000141239"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240675"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000123757"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000141926"|"RCB_STE_COM000000000013"|||"2**"
"RCB_TIE000000250376"|"RCB_STE_COM000000000013"|||"Z99"
"RCB_TIE000000248937"|"RCB_STE_COM000000000013"|||"C**"
"RCB_TIE000000250098"|"RCB_STE_COM000000000013"|||"A**"
"RCB_TIE000000250387"|"RCB_STE_COM000000000013"|||"Z99"
"RCB_TIE000000248631"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248748"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248612"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248650"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248936"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248856"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000248892"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249019"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248953"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248589"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248987"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000249196"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248939"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248963"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248982"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249308"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249158"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249046"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248670"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248666"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248716"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248760"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248817"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249122"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249299"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249204"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248887"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248904"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248894"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249212"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248937"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248925"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000248749"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249041"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249058"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249053"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248961"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249441"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249050"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249079"|"RCB_STE_COM000000000016"|||"Z99"
"RCB_TIE000000249026"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249241"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249035"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248824"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000249454"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249278"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248629"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248737"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000248743"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248658"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249031"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249081"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249255"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248738"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248896"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249142"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249353"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249309"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249200"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248861"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248941"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249103"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248679"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249207"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000248675"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249131"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249332"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249202"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248968"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249062"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249159"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249316"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249444"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249352"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248713"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000249154"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248852"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249290"|"RCB_STE_COM000000000016"|||"C**"
"RCB_TIE000000249201"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248906"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000248804"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249214"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248911"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249114"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249287"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248889"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249297"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249176"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249123"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000248992"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249397"|"RCB_STE_COM000000000016"|||"C**"
"RCB_TIE000000249101"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249215"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248991"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249036"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249218"|"RCB_STE_COM000000000016"|||"Z99"
"RCB_TIE000000249110"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249144"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249191"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000248997"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249423"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249383"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249248"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249325"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249477"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249074"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249193"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249310"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249403"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249374"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249388"|"RCB_STE_COM000000000016"|||"Z99"
"RCB_TIE000000249387"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249357"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249295"|"RCB_STE_COM000000000016"|||"Z99"
