tiers_id||||||||||||||||||new_code
RCB_TIE000000009304||||||||||||||||||CATQ_D**
RCB_TIE000000007845||||||||||||||||||CATQ_D**
RCB_TIE000000006656||||||||||||||||||CATQ_D**
RCB_TIE000000006559||||||||||||||||||CATQ_D**
RCB_TIE000000007550||||||||||||||||||CATQ_D**
RCB_TIE000000007857||||||||||||||||||CATQ_D**
RCB_TIE000000008624||||||||||||||||||CATQ_D**
RCB_TIE000000008434||||||||||||||||||CATQ_D**
RCB_TIE000000006672||||||||||||||||||CATQ_D**
RCB_TIE000000008440||||||||||||||||||CATQ_D**
RCB_TIE000000008241||||||||||||||||||CATQ_D**
RCB_TIE000000008638||||||||||||||||||CATQ_D**
RCB_TIE000000008640||||||||||||||||||CATQ_D**
RCB_TIE000000008449||||||||||||||||||CATQ_D**
RCB_TIE000000008748||||||||||||||||||CATQ_D**
RCB_TIE000000007884||||||||||||||||||CATQ_4**
RCB_TIE000000008650||||||||||||||||||CATQ_D**
RCB_TIE000000006693||||||||||||||||||CATQ_D**
RCB_TIE000000008368||||||||||||||||||CATQ_D**
RCB_TIE000000008370||||||||||||||||||CATQ_D**
RCB_TIE000000007788||||||||||||||||||CATQ_D**
RCB_TIE000000008465||||||||||||||||||CATQ_D**
RCB_TIE000000008005||||||||||||||||||CATQ_D**
RCB_TIE000000008275||||||||||||||||||CATQ_D**
RCB_TIE000000009379||||||||||||||||||CATQ_9SL
RCB_TIE000000008575||||||||||||||||||CATQ_D**
RCB_TIE000000008904||||||||||||||||||CATQ_D**
RCB_TIE000000008786||||||||||||||||||CATQ_D**
RCB_TIE000000009512||||||||||||||||||CATQ_D**
RCB_TIE000000009513||||||||||||||||||CATQ_D**
RCB_TIE000000008697||||||||||||||||||CATQ_4**
RCB_TIE000000008599||||||||||||||||||CATQ_D**
RCB_TIE000000009910||||||||||||||||||CATQ_D**
RCB_TIE000000009715||||||||||||||||||CATQ_D**
RCB_TIE000000007943||||||||||||||||||CATQ_D**
RCB_TIE000000010111||||||||||||||||||CATQ_D**
RCB_TIE000000010710||||||||||||||||||CATQ_4**
RCB_TIE000000008842||||||||||||||||||CATQ_D**
RCB_TIE000000009738||||||||||||||||||CATQ_D**
RCB_TIE000000009940||||||||||||||||||CATQ_D**
RCB_TIE000000008859||||||||||||||||||CATQ_D**
RCB_TIE000000007970||||||||||||||||||CATQ_D**
RCB_TIE000000008175||||||||||||||||||CATQ_D**
RCB_TIE000000009450||||||||||||||||||CATQ_D**
RCB_TIE000000010351||||||||||||||||||CATQ_D**
RCB_TIE000000008179||||||||||||||||||CATQ_D**
RCB_TIE000000009243||||||||||||||||||CATQ_D**
RCB_TIE000000008181||||||||||||||||||CATQ_4**
RCB_TIE000000009249||||||||||||||||||CATQ_D**
RCB_TIE000000008187||||||||||||||||||CATQ_D**
RCB_TIE000000010362||||||||||||||||||CATQ_D**
RCB_TIE000000010363||||||||||||||||||CATQ_D**
RCB_TIE000000008089||||||||||||||||||CATQ_D**
RCB_TIE000000010167||||||||||||||||||CATQ_D**
RCB_TIE000000008091||||||||||||||||||CATQ_D**
RCB_TIE000000008100||||||||||||||||||CATQ_D**
RCB_TIE000000011301||||||||||||||||||CATQ_D**
RCB_TIE000000011303||||||||||||||||||CATQ_D**
RCB_TIE000000010581||||||||||||||||||CATQ_D**
RCB_TIE000000011305||||||||||||||||||CATQ_D**
RCB_TIE000000009797||||||||||||||||||CATQ_D**
RCB_TIE000000010390||||||||||||||||||CATQ_D**
RCB_TIE000000009280||||||||||||||||||CATQ_D**
RCB_TIE000000010391||||||||||||||||||CATQ_D**
RCB_TIE000000010198||||||||||||||||||CATQ_D**
RCB_TIE000000011501||||||||||||||||||CATQ_4**
RCB_TIE000000010199||||||||||||||||||CATQ_D**
RCB_TIE000000009806||||||||||||||||||CATQ_D**
RCB_TIE000000011117||||||||||||||||||CATQ_D**
RCB_TIE000000011911||||||||||||||||||CATQ_D**
RCB_TIE000000010205||||||||||||||||||CATQ_D**
RCB_TIE000000011126||||||||||||||||||CATQ_D**
RCB_TIE000000010210||||||||||||||||||CATQ_D**
RCB_TIE000000011130||||||||||||||||||CATQ_D**
RCB_TIE000000010015||||||||||||||||||CATQ_D**
RCB_TIE000000011519||||||||||||||||||CATQ_4**
RCB_TIE000000009636||||||||||||||||||CATQ_D**
RCB_TIE000000011148||||||||||||||||||CATQ_D**
RCB_TIE000000010043||||||||||||||||||CATQ_4**
RCB_TIE000000011354||||||||||||||||||CATQ_D**
RCB_TIE000000010441||||||||||||||||||CATQ_D**
RCB_TIE000000010254||||||||||||||||||CATQ_D**
RCB_TIE000000010261||||||||||||||||||CATQ_D**
RCB_TIE000000010066||||||||||||||||||CATQ_D**
RCB_TIE000000011564||||||||||||||||||CATQ_D**
RCB_TIE000000011972||||||||||||||||||CATQ_D**
RCB_TIE000000012176||||||||||||||||||CATQ_D**
RCB_TIE000000010280||||||||||||||||||CATQ_D**
RCB_TIE000000014127||||||||||||||||||CATQ_D**
RCB_TIE000000013732||||||||||||||||||CATQ_D**
RCB_TIE000000013342||||||||||||||||||CATQ_D**
RCB_TIE000000014132||||||||||||||||||CATQ_4**
RCB_TIE000000012626||||||||||||||||||CATQ_D**
RCB_TIE000000011443||||||||||||||||||CATQ_D**
RCB_TIE000000014538||||||||||||||||||CATQ_D**
RCB_TIE000000012241||||||||||||||||||CATQ_D**
RCB_TIE000000013743||||||||||||||||||CATQ_D**
RCB_TIE000000014552||||||||||||||||||CATQ_D**
RCB_TIE000000012260||||||||||||||||||CATQ_D**
RCB_TIE000000011861||||||||||||||||||CATQ_D**
RCB_TIE000000014168||||||||||||||||||CATQ_D**
RCB_TIE000000012658||||||||||||||||||CATQ_D**
RCB_TIE000000013386||||||||||||||||||CATQ_D**
RCB_TIE000000014577||||||||||||||||||CATQ_D**
RCB_TIE000000012972||||||||||||||||||CATQ_543
RCB_TIE000000011482||||||||||||||||||CATQ_D**
