ADRESSE_ID|||||||||||||||||||ERP_ID_ADRESSE
RCB_ADR000000379525|||||||||||||||||||98568
RCB_ADR000000379529|||||||||||||||||||116573
RCB_ADR000000379530|||||||||||||||||||157371
RCB_ADR000000379531|||||||||||||||||||105079
RCB_ADR000000379532|||||||||||||||||||123630
RCB_ADR000000379535|||||||||||||||||||177469
RCB_ADR000000379538|||||||||||||||||||168333
RCB_ADR000000379541|||||||||||||||||||99181
RCB_ADR000000379545|||||||||||||||||||105085
RCB_ADR000000379544|||||||||||||||||||141460
RCB_ADR000000379548|||||||||||||||||||180987
RCB_ADR000000379551|||||||||||||||||||94153
RCB_ADR000000379549|||||||||||||||||||177301
RCB_ADR000000379555|||||||||||||||||||112174
RCB_ADR000000379556|||||||||||||||||||121821
RCB_ADR000000379557|||||||||||||||||||160364
RCB_ADR000000379560|||||||||||||||||||106635
RCB_ADR000000379562|||||||||||||||||||167601
RCB_ADR000000379563|||||||||||||||||||169857
RCB_ADR000000379564|||||||||||||||||||151244
RCB_ADR000000379565|||||||||||||||||||97837
RCB_ADR000000379569|||||||||||||||||||168795
RCB_ADR000000379571|||||||||||||||||||141808
RCB_ADR000000379570|||||||||||||||||||159069
RCB_ADR000000379574|||||||||||||||||||162361
RCB_ADR000000379575|||||||||||||||||||169891
RCB_ADR000000379576|||||||||||||||||||180533
RCB_ADR000000379577|||||||||||||||||||73774
RCB_ADR000000379578|||||||||||||||||||76305
RCB_ADR000000379580|||||||||||||||||||130672
RCB_ADR000000379579|||||||||||||||||||95655
RCB_ADR000000379581|||||||||||||||||||191075
RCB_ADR000000379582|||||||||||||||||||130852
RCB_ADR000000379585|||||||||||||||||||130812
RCB_ADR000000379588|||||||||||||||||||114078
RCB_ADR000000379589|||||||||||||||||||177665
RCB_ADR000000379590|||||||||||||||||||99172
RCB_ADR000000379594|||||||||||||||||||167875
RCB_ADR000000379593|||||||||||||||||||144756
RCB_ADR000000379592|||||||||||||||||||117103
RCB_ADR000000379596|||||||||||||||||||73734
RCB_ADR000000379600|||||||||||||||||||132326
RCB_ADR000000379603|||||||||||||||||||94383
RCB_ADR000000379602|||||||||||||||||||162091
RCB_ADR000000379604|||||||||||||||||||125508
RCB_ADR000000379608|||||||||||||||||||76988
RCB_ADR000000379609|||||||||||||||||||95765
RCB_ADR000000379610|||||||||||||||||||171253
RCB_ADR000000379615|||||||||||||||||||95345
RCB_ADR000000379617|||||||||||||||||||105245
RCB_ADR000000379612|||||||||||||||||||153953
RCB_ADR000000379616|||||||||||||||||||149829
RCB_ADR000000379620|||||||||||||||||||104761
RCB_ADR000000379619|||||||||||||||||||117927
RCB_ADR000000379621|||||||||||||||||||132562
RCB_ADR000000379624|||||||||||||||||||127570
RCB_ADR000000379622|||||||||||||||||||88750
RCB_ADR000000379623|||||||||||||||||||118594
RCB_ADR000000379626|||||||||||||||||||130984
RCB_ADR000000381830|||||||||||||||||||88432
RCB_ADR000000381833|||||||||||||||||||166685
RCB_ADR000000381831|||||||||||||||||||93185
RCB_ADR000000381832|||||||||||||||||||180825
RCB_ADR000000381834|||||||||||||||||||154490
RCB_ADR000000381838|||||||||||||||||||123037
RCB_ADR000000381835|||||||||||||||||||163247
